Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,6.74047402586093E-18,-2.65966146459508E-19,0,0,0,0.015707963267949,5.24580523302545E-05,-1.5177569000538E-38,7.49879891330929E-40,1.96349540849362E-07,-4.65273603447814E-38,5.24580523302545E-05,0,0,0,0,0,0,package://RodAssembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RodAssembly/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
top_endpoint,2.2962127484013E-19,0,0,0,0,0,0.00418879020478639,1.67551608191456E-07,0,4.69939452995971E-38,1.67551608191456E-07,0,1.67551608191456E-07,0,0,0,0,0,0,package://RodAssembly/meshes/top_endpoint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RodAssembly/meshes/top_endpoint.STL,,Endpoint-1,Origin_top_fixed,,top_fixed,fixed,0,0,0.1,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
bottom_endpoint,2.2962127484013E-19,0,0,0,0,0,0.00418879020478639,1.67551608191456E-07,0,4.69939452995971E-38,1.67551608191456E-07,0,1.67551608191456E-07,0,0,0,0,0,0,package://RodAssembly/meshes/bottom_endpoint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RodAssembly/meshes/bottom_endpoint.STL,,Endpoint-2,Origin_bottom_fixed,,bottom_fixed,fixed,0,0,-0.1,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
